Image,Description,Class
distracted-boyfriend.jpg,A man looks at another woman while his girlfriend looks at him disapprovingly,distracted_boyfriend
this-is-fine.jpg,"A dog sits in a room that's on fire, saying ""This is fine""",this_is_fine
mocking-spongebob.jpg,A picture of Spongebob Squarepants with alternating uppercase and lowercase letters in the caption,mocking_spongebob
first-world-problems.jpg,"A man holding a phone, with the caption ""My phone charger isn't long enough to reach my bed""",first_world_problems
arthur-fist.jpg,A cartoon character named Arthur clenches his fist,arthur_fist
distracted-boyfriend.jpg,A stock photo of a man walking with his girlfriend while turning his head to look at another woman walking in the opposite direction,distracted_boyfriend
this-is-fine.jpg,"When everything around you is falling apart, but you try to remain calm.",this_is_fine
mocking-spongebob.jpg,When someone is being ridiculous and you mock them.,mocking_spongebob
first-world-problems.jpg,When you're upset about something trivial because you have a privileged life.,first_world_problems
first-world-problems.jpg,When you complain about something that's really not that important.,first_world_problems
first-world-problems.jpg,When you're used to getting everything you want and get upset when you can't have it.,first_world_problems
first-world-problems.jpg,When you're so used to convenience that the smallest inconvenience feels like a major problem.,first_world_problems
this-is-fine.jpg,"When you're in a bad situation, but pretend like it's not affecting you.",this_is_fine
this-is-fine.jpg,When you're in denial about how bad things really are.,this_is_fine
this-is-fine.jpg,When you try to put on a brave face even though everything is going wrong.,this_is_fine
distracted-boyfriend.jpg,"When you think you're committed to one thing, but something else catches your eye.",distracted_boyfriend
distracted-boyfriend.jpg,When you're in a relationship but can't help looking at other options.,distracted_boyfriend
distracted-boyfriend.jpg,"When you're trying to be loyal, but temptation is too great.",distracted_boyfriend
mocking-spongebob.jpg,When someone says something stupid and you repeat it back to them in a mocking tone.,mocking_spongebob
mocking-spongebob.jpg,When someone is being annoying and you want to make fun of them.,mocking_spongebob
mocking-spongebob.jpg,"When someone is trying to get a rise out of you, but you stay cool and make fun of them instead.",mocking_spongebob
arthur-fist.jpg,When you're so mad you can't even speak.,arthur_fist
arthur-fist.jpg,When someone says something that really gets under your skin.,arthur_fist
arthur-fist.jpg,When you're frustrated and need to let off some steam.,arthur_fist
arthur-fist.jpg,"When you're ready to fight someone, but don't want to get physical.",arthur_fist
surprised-pikachu.jpg,An image of Pikachu from the Pokémon franchise with a surprised expression on its face.,surprised_pikachu
surprised-pikachu.jpg,When you're shocked by something unexpected.,surprised_pikachu
surprised-pikachu.jpg,When you're caught off guard by a sudden revelation,surprised_pikachu
surprised-pikachu.jpg,When you're surprised by someone's actions or words.,surprised_pikachu
surprised-pikachu.jpg,When something happens that you didn't see coming.,surprised_pikachu
pointing-spidermen.jpg,A still image from the Spider-Man animated series of two Spider-Men pointing at each other.,pointing_spiderman
pointing-spidermen.jpg,A still image from the Spider-Man animated series of two Spider-Men pointing at each other.,pointing_spiderman
pointing-spidermen.jpg,When you and someone else are on the same page.,pointing_spiderman
pointing-spidermen.jpg,When two people have the same idea at the same time.,pointing_spiderman
pointing-spidermen.jpg,When you and someone else are both to blame for a situation.,pointing_spiderman
